KOI-1843.03,0,0.0014,0.054,0.1768913,0.0048,0,0,72,0,0,0,0.52,0.5,0.07,3687,0,end
Kepler-974 b,0,0,0.14,4.19449651,0.039,0,0,89.38,0,0,0,0.52,0.5,0.07,3687,0,end
KOI-1843.02,0,0,0.071,6.356006,0.052,0,0,88.24,0,0,0,0.52,0.5,0.07,3687,0,end
Kepler-9 b,0,0.25,0.84,19.22418,0.143,0.0626,0,87.1,707.2,0,650,1.07,1.02,0.12,5777,0,end
Kepler-9 c,0,0.17,0.82,39.03106,0.229,0.0684,0,87.2,557.9,0,650,1.07,1.02,0.12,5777,0,end
Kepler-9 d,0,0.022,0.147,1.592851,0.0271,0,0,0,1601.5,0,650,1.07,1.02,0.12,5777,0,end
GJ 160.2 b,0,0.0321,0,5.2354,0.053,0.06,350,0,0,0,43.25,0.69,0,0,4347,0,end
Kepler-566 b,0,0,0.192,18.42794624,0,0,0,0,0,0,0,0.83,0.79,-0.01,5132,0,end
WASP-124 b,0,0.6,1.24,3.37265,0.0449,0,0,86.3,1400,0,433,1.07,0,-0.02,6050,0,end
HD 240210 b,0,5.21,0,501.75,1.33,0.15,277.59,0,0,0,143,0.82,0,-0.18,4297,0,end
OGLE-05-390L b,0,0.017,0,3500,2.1,0,0,0,0,0,6500,0.22,0,0,3840,0,end
Kepler-1343 b,0,0,0.172,3.35183158,0,0,0,0,0,0,0,0.95,0.93,-0.16,5759,0,end
Kepler-1011 b,0,0,0.256,5.75322197,0,0,0,0,0,0,0,0.91,0.88,0.08,5416,0,end
WASP-82 b,0,1.24,1.67,2.705782,0.0447,0,0,87.9,2190,0,200,1.63,2.18,0.12,6490,0,end
Gliese 1214 b,0,0.0195,0.2525,1.58040417,0.01488,0,0,88.47,604,0,14.55,0.176,0.2213,0.1,3250,0,end
CoRoT-30 b,0,2.84,1.02,9.06005,0.084,0.007,178.1,90,0,0,960,0.97,0.92,0.02,5650,1.5,end
Kepler-153 b,0,0,0.2661,18.870227,0,0,0,0,0,0,626.1,0.82,0.892,0,5404,0,end
Kepler-153 c,0,0,0.23056,46.90232,0,0,0,0,0,0,626.1,0.82,0.892,0,5404,0,end
HD 4203 b,0,1.82,0,437.05,1.1735,0.52,328.03,0,0,0,78.92,1.13,1.33,0.453,5702,0,end
HD 4203 c,0,1.51,0,7053,7.5,0.182,232.2,0,0,0,78.92,1.13,1.33,0.453,5702,0,end
